ID_Pelanggan,Jenis_Kelamin,Usia,Pendapatan_Tahunan_kUSD,Skor_Belanja,Cluster_2Fitur
1,Laki-laki,19,15,39,4
2,Laki-laki,21,15,81,2
3,Perempuan,20,16,6,4
4,Perempuan,23,16,77,2
5,Perempuan,31,17,40,4
6,Perempuan,22,17,76,2
7,Perempuan,35,18,6,4
8,Perempuan,23,18,94,2
9,Laki-laki,64,19,3,4
10,Perempuan,30,19,72,2
11,Laki-laki,67,19,14,4
12,Perempuan,35,19,99,2
13,Perempuan,58,20,15,4
14,Perempuan,24,20,77,2
15,Laki-laki,37,20,13,4
16,Laki-laki,22,20,79,2
17,Perempuan,35,21,35,4
18,Laki-laki,20,21,66,2
19,Laki-laki,52,23,29,4
20,Perempuan,35,23,98,2
21,Laki-laki,35,24,35,4
22,Laki-laki,25,24,73,2
23,Perempuan,46,25,5,4
24,Laki-laki,31,25,73,2
25,Perempuan,54,28,14,4
26,Laki-laki,29,28,82,2
27,Perempuan,45,28,32,4
28,Laki-laki,35,28,61,2
29,Perempuan,40,29,31,4
30,Perempuan,23,29,87,2
31,Laki-laki,60,30,4,4
32,Perempuan,21,30,73,2
33,Laki-laki,53,33,4,4
34,Laki-laki,18,33,92,2
35,Perempuan,49,33,14,4
36,Perempuan,21,33,81,2
37,Perempuan,42,34,17,4
38,Perempuan,30,34,73,2
39,Perempuan,36,37,26,4
40,Perempuan,20,37,75,2
41,Perempuan,65,38,35,4
42,Laki-laki,24,38,92,2
43,Laki-laki,48,39,36,4
44,Perempuan,31,39,61,0
45,Perempuan,49,39,28,4
46,Perempuan,24,39,65,2
47,Perempuan,50,40,55,0
48,Perempuan,27,40,47,0
49,Perempuan,29,40,42,0
50,Perempuan,31,40,42,0
51,Perempuan,49,42,52,0
52,Laki-laki,33,42,60,0
53,Perempuan,31,43,54,0
54,Laki-laki,59,43,60,0
55,Perempuan,50,43,45,0
56,Laki-laki,47,43,41,0
57,Perempuan,51,44,50,0
58,Laki-laki,69,44,46,0
59,Perempuan,27,46,51,0
60,Laki-laki,53,46,46,0
61,Laki-laki,70,46,56,0
62,Laki-laki,19,46,55,0
63,Perempuan,67,47,52,0
64,Perempuan,54,47,59,0
65,Laki-laki,63,48,51,0
66,Laki-laki,18,48,59,0
67,Perempuan,43,48,50,0
68,Perempuan,68,48,48,0
69,Laki-laki,19,48,59,0
70,Perempuan,32,48,47,0
71,Laki-laki,70,49,55,0
72,Perempuan,47,49,42,0
73,Perempuan,60,50,49,0
74,Perempuan,60,50,56,0
75,Laki-laki,59,54,47,0
76,Laki-laki,26,54,54,0
77,Perempuan,45,54,53,0
78,Laki-laki,40,54,48,0
79,Perempuan,23,54,52,0
80,Perempuan,49,54,42,0
81,Laki-laki,57,54,51,0
82,Laki-laki,38,54,55,0
83,Laki-laki,67,54,41,0
84,Perempuan,46,54,44,0
85,Perempuan,21,54,57,0
86,Laki-laki,48,54,46,0
87,Perempuan,55,57,58,0
88,Perempuan,22,57,55,0
89,Perempuan,34,58,60,0
90,Perempuan,50,58,46,0
91,Perempuan,68,59,55,0
92,Laki-laki,18,59,41,0
93,Laki-laki,48,60,49,0
94,Perempuan,40,60,40,0
95,Perempuan,32,60,42,0
96,Laki-laki,24,60,52,0
97,Perempuan,47,60,47,0
98,Perempuan,27,60,50,0
99,Laki-laki,48,61,42,0
100,Laki-laki,20,61,49,0
101,Perempuan,23,62,41,0
102,Perempuan,49,62,48,0
103,Laki-laki,67,62,59,0
104,Laki-laki,26,62,55,0
105,Laki-laki,49,62,56,0
106,Perempuan,21,62,42,0
107,Perempuan,66,63,50,0
108,Laki-laki,54,63,46,0
109,Laki-laki,68,63,43,0
110,Laki-laki,66,63,48,0
111,Laki-laki,65,63,52,0
112,Perempuan,19,63,54,0
113,Perempuan,38,64,42,0
114,Laki-laki,19,64,46,0
115,Perempuan,18,65,48,0
116,Perempuan,19,65,50,0
117,Perempuan,63,65,43,0
118,Perempuan,49,65,59,0
119,Perempuan,51,67,43,0
120,Perempuan,50,67,57,0
121,Laki-laki,27,67,56,0
122,Perempuan,38,67,40,0
123,Perempuan,40,69,58,0
124,Laki-laki,39,69,91,1
125,Perempuan,23,70,29,3
126,Perempuan,31,70,77,1
127,Laki-laki,43,71,35,0
128,Laki-laki,40,71,95,1
129,Laki-laki,59,71,11,3
130,Laki-laki,38,71,75,1
131,Laki-laki,47,71,9,3
132,Laki-laki,39,71,75,1
133,Perempuan,25,72,34,0
134,Perempuan,31,72,71,1
135,Laki-laki,20,73,5,3
136,Perempuan,29,73,88,1
137,Perempuan,44,73,7,3
138,Laki-laki,32,73,73,1
139,Laki-laki,19,74,10,3
140,Perempuan,35,74,72,1
141,Perempuan,57,75,5,3
142,Laki-laki,32,75,93,1
143,Perempuan,28,76,40,0
144,Perempuan,32,76,87,1
145,Laki-laki,25,77,12,3
146,Laki-laki,28,77,97,1
147,Laki-laki,48,77,36,3
148,Perempuan,32,77,74,1
149,Perempuan,34,78,22,3
150,Laki-laki,34,78,90,1
151,Laki-laki,43,78,17,3
152,Laki-laki,39,78,88,1
153,Perempuan,44,78,20,3
154,Perempuan,38,78,76,1
155,Perempuan,47,78,16,3
156,Perempuan,27,78,89,1
157,Laki-laki,37,78,1,3
158,Perempuan,30,78,78,1
159,Laki-laki,34,78,1,3
160,Perempuan,30,78,73,1
161,Perempuan,56,79,35,3
162,Perempuan,29,79,83,1
163,Laki-laki,19,81,5,3
164,Perempuan,31,81,93,1
165,Laki-laki,50,85,26,3
166,Perempuan,36,85,75,1
167,Laki-laki,42,86,20,3
168,Perempuan,33,86,95,1
169,Perempuan,36,87,27,3
170,Laki-laki,32,87,63,1
171,Laki-laki,40,87,13,3
172,Laki-laki,28,87,75,1
173,Laki-laki,36,87,10,3
174,Laki-laki,36,87,92,1
175,Perempuan,52,88,13,3
176,Perempuan,30,88,86,1
177,Laki-laki,58,88,15,3
178,Laki-laki,27,88,69,1
179,Laki-laki,59,93,14,3
180,Laki-laki,35,93,90,1
181,Perempuan,37,97,32,3
182,Perempuan,32,97,86,1
183,Laki-laki,46,98,15,3
184,Perempuan,29,98,88,1
185,Perempuan,41,99,39,3
186,Laki-laki,30,99,97,1
187,Perempuan,54,101,24,3
188,Laki-laki,28,101,68,1
189,Perempuan,41,103,17,3
190,Perempuan,36,103,85,1
191,Perempuan,34,103,23,3
192,Perempuan,32,103,69,1
193,Laki-laki,33,113,8,3
194,Perempuan,38,113,91,1
195,Perempuan,47,120,16,3
196,Perempuan,35,120,79,1
197,Perempuan,45,126,28,3
198,Laki-laki,32,126,74,1
199,Laki-laki,32,137,18,3
200,Laki-laki,30,137,83,1
